Date,Job title,Company,,,,,,
9/20/2022,Data Engineer Batch,Barclays,,,,,,
9/20/2022,Systems Engr II,Honeywell,,,,,,
8/22/2022,Data Engineer – Price Assessments (R),Argus Media,,,,,,
8/29/2022,"Power BI, Tableau and Python",SKILLETY,,,,,,
8/30/2022,"Sr Analyst, Analytics",Evolent Health,,,,,,
9/29/2022,MEDIDATA AI R&D Data Analyst,Dassault Systèmes,,,,,,
9/23/2022,SQL Engineer,Ivalua,,,,,,
1/13/2022,DATA ANALYST/BUSINESS ANALYST-P&C Insurance/ Brokerage(EXP-5 TO 8YEARS),CIEL HR,,,,,,
8/14/2022,"Senior Analyst, Data","GXO Logistics, Inc.",,,,,,
9/26/2022,Analytics Role - Healthcare (,Hiring Partners HR Solutions Pvt. Ltd.,,,,,,
9/26/2022,Senior Data Governance Analyst,bp,,,,,,
9/21/2022,Supplier Data Management - Analyst/Sr. Analyst/ Associate / Sr. Associate,WNS,,,,,,
9/14/2022,Sr. Data Analytics,CrowdStrike,,,,,,
9/4/2022,Data Engineer,Hexaware Technologies,,,,,,
9/23/2022,Data Engineer - IT,Bajaj Finserv,,,,,,
9/21/2022,Systems Engr II,Honeywell,,,,,,
9/22/2022,DATA ANALYST/BUSINESS ANALYST-P&C Insurance/ Brokerage(EXP-5 TO 8YEARS),CIEL HR,,,,,,
9/13/2022,Analyst – SQL Database Testing and Development,ISS | Institutional Shareholder Services,,,,,,
9/7/2022,Qlik Analyst,_VOIS,,,,,,
9/30/2022,Deputy Manager_Assistant Lead_Data Analyst_Pune,_VOIS,,,,,,
7/22/2022,Data Engineer,Barclays,,,,,,
9/2/2022,SQL Developer,Sutherland,,,,,,
8/22/2022,SQL Developer,Sutherland,,,,,,
9/22/2022,Data Engineer,Barclays,,,,,,
9/20/2022,Data Management Analyst _ Hedge Funds,BNP Paribas,,,,,,
9/26/2022,IT Business/Data Analyst - ETL/DWH - Banking,Pioneer Financial & Management Services Ltd.,,,,,,
9/22/2022,Data Warehouse Developer,Barclays,,,,,,
9/22/2022,MEDIDATA AI R&D Data Analyst,Medidata Solutions,,,,,,
8/27/2022,SQL Developer,SKS Enterpprises - Human Resource Planning and Management,,,,,,
9/5/2022,Data engineer,Veritas Technologies LLC,,,,,,
8/25/2022,Marketing Data Enrichment Analyst,EDB,,,,,,
10/3/2022,Support Analyst,BNP Paribas,,,,,,
9/23/2022,SQL Developer,MindTech Solutions,,,,,,
9/4/2022,"Senior Analyst, Global Insights & Analytics, Creative & Innovation Excellence",Mondelēz International,,,,,,
9/8/2022,Data Engineer - Data Analytics/Power BI,Taliun,,,,,,
9/5/2022,Data Engineer,Vistex,,,,,,
9/8/2022,Data Engineer,TMF Group,,,,,,
8/11/2022,Data Engineer,ResMed,,,,,,
9/30/2022,Data Engineer / Database Engineer,CIEL HR,,,,,,
8/26/2022,Data Engineer,Veritas Technologies LLC,,,,,,
8/25/2022,SaT_TRS-WCAS_Advanced Analyst,EY,,,,,,
8/15/2022,"Data Analyst/Scientist, Internal Audit #216642",ACCA Careers,,,,,,
8/19/2022,Data Management Analyst,Medline India,,,,,,
9/5/2022,Operation Executive cum Data Analyst,BUSISOL SOURCING (INDIA) PRIVATE LIMITED,,,,,,
9/3/2022,Data Engineers,CloudCover,,,,,,
9/2/2022,"Data Research Analyst, Trilogy (Remote) - $60,000/year USD",Crossover for Work,,,,,,
9/16/2022,IBM ECM,Tata Consultancy Services,,,,,,
8/13/2022,SQL Developer,One Point One Solutions,,,,,,
10/1/2022,Data Engineer,Veritas Technologies LLC,,,,,,
7/31/2022,Data Engineer,Veritas Technologies LLC,,,,,,
9/28/2022,Data Engineer for Data Analytics Start-up,Clarista Inc.,,,,,,
9/27/2022,"Senior Analyst, Shared Analytics, CCC",Integreon,,,,,,
9/30/2022,Data Operations Engineering Data Senior Analyst,bp,,,,,,
9/23/2022,Data Engineer,Veritas Technologies LLC,,,,,,
7/22/2022,SAS Developer,Barclays,,,,,,
6/30/2022,Report Developer,Infrasoft Technologies Ltd,,,,,,
9/2/2022,"Financial Planning & Analysis IT, Market Data and Cost Analyst",Apex Group Ltd,,,,,,
9/17/2022,Operation Executive cum Data Analyst,BUSISOL SOURCING (INDIA) PRIVATE LIMITED,,,,,,
9/2/2022,"Trainee, Database VEVE (179)",Affinity Global Inc.,,,,,,
9/25/2022,CIEL/SEL/24655: Sr Data Analyst,CIEL HR,,,,,,
8/13/2022,Research & Analytics Analyst,Great Place to Work US,,,,,,
7/18/2022,Report Developer,IntegriChain,,,,,,
9/27/2022,"DATA TENDER EXECUTIVE DME MIS CRM,Data Entry Analyst",Oil and Gas,,,,,,
8/28/2022,Application specialist,Barclays,,,,,,
9/29/2022,Data Engineer,Partners Group,,,,,,
9/28/2022,SQL Developer - Database Design,ProPMO Services Private Limited,,,,,,
9/28/2022,"Senior Analyst, Workforce Analytics","GXO Logistics, Inc.",,,,,,
9/2/2022,Senior HRIS Data Analytics & Reporting Analyst,NewRocket,,,,,,
9/8/2022,Data Engineer,PaySense,,,,,,
9/20/2022,Data Engineer,Bajaj Finserv,,,,,,
10/3/2022,"Associate Consultant, Analytics",Vistex,,,,,,
9/30/2022,"Tech Lead - SQL, PL/SQL,ADVANCE PL/SQL",Zensar Technologies,,,,,,
10/1/2022,"Data Engineer (Python, Scala)",KNOREX,,,,,,
8/27/2022,Data Engineer,WLC TECHNOLOGY,,,,,,
9/26/2022,Data Engineer,Oneture Technologies,,,,,,
9/22/2022,Data Engineer,Evolent Health,,,,,,
8/30/2022,MS SQL Developer,Tata Consultancy Services,,,,,,
9/24/2022,Data Engineer_Publicis Resources,CodersBrain,,,,,,
9/30/2022,Transformhub - Data Engineer,TransformHub,,,,,,
9/20/2022,Data Operations Engineering Data Senior Analyst,bp,,,,,,
6/18/2022,IFS Application,CIEL HR,,,,,,
8/30/2022,Data Engineer,NSEIT LIMITED,,,,,,
8/30/2022,On Demand Agility Software - Data Analyst - Power BI,OnDemand Agility Solutions,,,,,,
9/9/2022,Data Engineer - Work From Office - Mumbai,Qween Network LLP,,,,,,
9/8/2022,Data Operations Engineering Data Senior Analyst,bp,,,,,,
8/30/2022,Data Operations Engineering Data Senior Analyst,bp,,,,,,
8/25/2022,Data Operations Engineering Data Senior Analyst,bp,,,,,,
9/2/2022,SQL Developer,"AGDATA, LP",,,,,,
8/30/2022,Reporting & Insight Analyst,Barclays,,,,,,
8/30/2022,Analyst,LSEG (London Stock Exchange Group),,,,,,
9/28/2022,Senior Processing Analyst,Barclays,,,,,,
9/30/2022,Data Engineer - ETL/Data Pipeline,Delivery Solutions,,,,,,
8/30/2022,"Senior Analyst, Workforce Analytics 1","GXO Logistics, Inc.",,,,,,
9/29/2022,Data Engineer,Black Box Limited (Formerly AGC Networks Ltd),,,,,,
8/30/2022,Deputy Manager_Assistant Lead_Data Analyst-GBIS,_VOIS,,,,,,
9/22/2022,Senior Processing Analyst,Barclays,,,,,,
9/9/2022,Senior Processing Analyst,Barclays,,,,,,
8/7/2022,Associate Systems Engineer (2 positions),Braves Technologies,,,,,,
4/20/2022,CIEL/SEL/27177: BI - Analyst,CIEL HR,,,,,,
4/12/2022,Senior Processing Analyst,Barclays,,,,,,
9/29/2022,Data Engineer,Rudder Analytics,,,,,,
9/22/2022,Vamstar - SQL Analyst I - Python/Spark,Vamstar,,,,,,
5/27/2022,Senior Processing Analyst,Barclays,,,,,,
8/30/2022,Senior Processing Analyst,Barclays,,,,,,
9/8/2022,IFS Application,CIEL HR,,,,,,
9/23/2022,"AWS DATA LAKE, DATA PIPELINE",Zensar Technologies,,,,,,
5/28/2022,Senior Processing Analyst,Barclays,,,,,,
9/30/2022,Specialist - Data Engineering,LTI - Larsen & Toubro Infotech,,,,,,
9/1/2022,Senior Processing Analyst,Barclays,,,,,,
7/22/2022,Talend Developer,KPMG India,,,,,,
9/5/2022,"Developer,Analytics/ Business Intelligence",Netxcell Limited,,,,,,
9/17/2022,Manager - Clinical Data Analyst (7-12 yrs),Alexia Consulting Services LLP,,,,,,
9/30/2022,Data Engineer,Randstad India,,,,,,
9/5/2022,Data Visualization Engineer,Varian,,,,,,
9/6/2022,Hiring Data Engineer for IT Firm,SYMPHONI HR,,,,,,
9/8/2022,PL/SQL Developer,GoldenSource,,,,,,
9/28/2022,"Support Analyst/Senior Support Analyst - Unix, SQL",BNP Paribas,,,,,,
9/18/2022,Senior Processing Analyst,Barclays,,,,,,
10/3/2022,"Developer,Analytics/ Business Intelligence",Netxcell Limited,,,,,,
3/22/2022,Data Engineer,Accolite Digital,,,,,,
10/1/2022,Data Engineer,SADA,,,,,,
8/25/2022,Staff Insider Threat Analyst,Baker Hughes,,,,,,
9/2/2022,"Senior Analyst, Customer Analytics",Western Union,,,,,,
9/6/2022,"Financial Advisory International - Data Analytics - SE/AM - SQL,Qlikview",Deloitte Asia Pacific,,,,,,
9/21/2022,Data Engineer,Codalyze Technologies,,,,,,
6/2/2022,AWS Data Engineer,Tata Consultancy Services,,,,,,
7/22/2022,Data Engineer,bp,,,,,,
10/1/2022,Data Engineer,Principal Global Services,,,,,,
9/20/2022,Data Content Specialist,Morningstar,,,,,,
9/14/2022,Database Developer,ATCS Inc.,,,,,,
7/22/2022,Data Engineer - Python/Pandas,Arham Labs,,,,,,
9/29/2022,Analyst,DBRS Morningstar,,,,,,
9/2/2022,Data Engineer,Principal Global Services,,,,,,
9/28/2022,Data Engineer,General Mills India,,,,,,
9/9/2022,Cloud Systems Engineer,MicroStrategy,,,,,,
9/30/2022,Associate Systems Engineer,Allscripts India,,,,,,
9/30/2022,Data Engineer,bp,,,,,,
9/16/2022,Data Engineer,Nathan Ark Software Pvt. Ltd.,,,,,,
8/25/2022,Data Engineer,Dassault Systèmes,,,,,,
8/29/2022,Firstcry - Database Developer,FirstCry.com (BrainBees Solutions Pvt. Ltd.),,,,,,
5/31/2022,Systems Engineer,Baker Hughes,,,,,,
9/29/2022,Data Engineer - 5842,ION,,,,,,
